BR;KM;LAT;LONG
116;0;-22,514158;-44,700062
116;0,01;-22,514208;-44,700144
116;0,02;-22,514258;-44,700226
116;0,03;-22,514306;-44,700309
116;0,04;-22,514351;-44,700393
116;0,05;-22,5144;-44,700475
116;0,06;-22,514444;-44,70056
116;0,07;-22,514485;-44,700647
116;0,08;-22,514531;-44,700731
116;0,09;-22,514577;-44,700815
116;0,1;-22,514624;-44,700899
116;0,11;-22,51467;-44,700983
116;0,12;-22,514717;-44,701067
116;0,13;-22,514764;-44,70115
116;0,14;-22,514812;-44,701233
116;0,15;-22,51486;-44,701316
116;0,16;-22,514908;-44,701399
116;0,17;-22,514955;-44,701483
116;0,18;-22,515002;-44,701566
116;0,19;-22,515048;-44,70165
116;0,2;-22,515093;-44,701735
116;0,21;-22,51514;-44,701818
116;0,22;-22,515187;-44,701902
116;0,23;-22,515233;-44,701986
116;0,24;-22,51528;-44,70207
116;0,25;-22,515327;-44,702153
116;0,26;-22,515374;-44,702236
116;0,27;-22,515421;-44,70232
116;0,28;-22,515468;-44,702403
116;0,29;-22,515516;-44,702487
116;0,3;-22,515563;-44,702571
116;0,31;-22,515611;-44,702654
116;0,32;-22,515658;-44,702737
116;0,33;-22,515705;-44,702821
116;0,34;-22,515752;-44,702904
116;0,35;-22,515799;-44,702987
116;0,36;-22,515846;-44,703071
116;0,37;-22,515893;-44,703154
116;0,38;-22,515941;-44,703238
116;0,39;-22,515989;-44,703321
116;0,4;-22,516039;-44,703402
116;0,41;-22,516092;-44,703483
116;0,42;-22,516147;-44,703561
116;0,43;-22,516199;-44,703641
116;0,44;-22,516242;-44,703727
116;0,45;-22,51628;-44,703815
116;0,46;-22,51632;-44,703902
116;0,47;-22,516362;-44,703988
116;0,48;-22,516403;-44,704075
116;0,49;-22,516445;-44,704161
116;0,5;-22,516489;-44,704246
116;0,51;-22,516535;-44,704331
116;0,52;-22,516581;-44,704415
116;0,53;-22,516627;-44,704498
116;0,54;-22,516674;-44,704582
116;0,55;-22,51672;-44,704666
116;0,56;-22,516767;-44,70475
116;0,57;-22,516814;-44,704833
116;0,58;-22,516862;-44,704917
116;0,59;-22,516909;-44,705001
116;0,6;-22,516955;-44,705084
116;0,61;-22,517003;-44,705167
116;0,62;-22,51705;-44,705251
116;0,63;-22,517098;-44,705334
116;0,64;-22,517148;-44,705416
116;0,65;-22,517198;-44,705497
116;0,66;-22,517252;-44,705577
116;0,67;-22,517302;-44,705659
116;0,68;-22,517352;-44,70574
116;0,69;-22,517402;-44,705822
116;0,7;-22,517452;-44,705904
116;0,71;-22,517502;-44,705986
116;0,72;-22,517552;-44,706067
116;0,73;-22,517602;-44,706149
116;0,74;-22,517652;-44,706231
116;0,75;-22,517702;-44,706313
116;0,76;-22,517752;-44,706394
116;0,77;-22,517804;-44,706475
116;0,78;-22,517853;-44,706558
116;0,79;-22,5179;-44,706641
116;0,8;-22,517942;-44,706727
116;0,81;-22,517982;-44,706815
116;0,82;-22,518021;-44,706902
116;0,83;-22,518061;-44,706989
116;0,84;-22,518101;-44,707077
116;0,85;-22,51814;-44,707164
116;0,86;-22,518184;-44,707249
116;0,87;-22,51823;-44,707333
116;0,88;-22,518276;-44,707417
116;0,89;-22,518324;-44,707501
116;0,9;-22,518371;-44,707584
116;0,91;-22,518419;-44,707667
116;0,92;-22,518466;-44,70775
116;0,93;-22,518514;-44,707833
116;0,94;-22,518562;-44,707917
116;0,95;-22,518609;-44,708
116;0,96;-22,518657;-44,708083
116;0,97;-22,518704;-44,708166
116;0,98;-22,518747;-44,708252
116;0,99;-22,518784;-44,70834
116;1;-22,518821;-44,708428
116;1,01;-22,518859;-44,708517
116;1,02;-22,518896;-44,708605
116;1,03;-22,518933;-44,708693
116;1,04;-22,518971;-44,708782
116;1,05;-22,519008;-44,70887
116;1,06;-22,519045;-44,708958
116;1,07;-22,519083;-44,709047
116;1,08;-22,51912;-44,709135
116;1,09;-22,519157;-44,709223
116;1,1;-22,519194;-44,709312
116;1,11;-22,519232;-44,7094
116;1,12;-22,519269;-44,709488
116;1,13;-22,519306;-44,709577
116;1,14;-22,519344;-44,709665
116;1,15;-22,519381;-44,709753
116;1,16;-22,519418;-44,709842
116;1,17;-22,519455;-44,70993
116;1,18;-22,519493;-44,710018
116;1,19;-22,51953;-44,710107
116;1,2;-22,519567;-44,710195
116;1,21;-22,519605;-44,710283
116;1,22;-22,519642;-44,710372
116;1,23;-22,519679;-44,71046
116;1,24;-22,519716;-44,710548
116;1,25;-22,519754;-44,710637
116;1,26;-22,519783;-44,710728
116;1,27;-22,519806;-44,710821
116;1,28;-22,519829;-44,710914
116;1,29;-22,519852;-44,711007
116;1,3;-22,519875;-44,7111
116;1,31;-22,519897;-44,711193
116;1,32;-22,51992;-44,711286
116;1,33;-22,519942;-44,71138
116;1,34;-22,519965;-44,711473
116;1,35;-22,519987;-44,711566
116;1,36;-22,520008;-44,71166
116;1,37;-22,52003;-44,711753
116;1,38;-22,520051;-44,711847
116;1,39;-22,520073;-44,71194
116;1,4;-22,520096;-44,712033
116;1,41;-22,520119;-44,712126
116;1,42;-22,520142;-44,712219
116;1,43;-22,520166;-44,712312
116;1,44;-22,520191;-44,712404
116;1,45;-22,520217;-44,712497
116;1,46;-22,520243;-44,712589
116;1,47;-22,520271;-44,712681
116;1,48;-22,5203;-44,712772
116;1,49;-22,520329;-44,712864
116;1,5;-22,520358;-44,712955
116;1,51;-22,520388;-44,713046
116;1,52;-22,520417;-44,713137
116;1,53;-22,520446;-44,713228
116;1,54;-22,520477;-44,71332
116;1,55;-22,520509;-44,71341
116;1,56;-22,520542;-44,7135
116;1,57;-22,520575;-44,71359
116;1,58;-22,520609;-44,71368
116;1,59;-22,520644;-44,713769
116;1,6;-22,52068;-44,713858
116;1,61;-22,520717;-44,713947
116;1,62;-22,520754;-44,714035
116;1,63;-22,520792;-44,714123
116;1,64;-22,520829;-44,714211
116;1,65;-22,520867;-44,714298
116;1,66;-22,520907;-44,714386
116;1,67;-22,520946;-44,714473
116;1,68;-22,520987;-44,71456
116;1,69;-22,521029;-44,714647
116;1,7;-22,521071;-44,714733
116;1,71;-22,521114;-44,714818
116;1,72;-22,521158;-44,714903
116;1,73;-22,521204;-44,714987
116;1,74;-22,52125;-44,715072
116;1,75;-22,521296;-44,715156
116;1,76;-22,521343;-44,71524
116;1,77;-22,52139;-44,715323
116;1,78;-22,521436;-44,715407
116;1,79;-22,521483;-44,715491
116;1,8;-22,521529;-44,715575
116;1,81;-22,521575;-44,715659
116;1,82;-22,521622;-44,715743
116;1,83;-22,521668;-44,715827
116;1,84;-22,521714;-44,71591
116;1,85;-22,521761;-44,715994
116;1,86;-22,521808;-44,716078
116;1,87;-22,521854;-44,716162
116;1,88;-22,521901;-44,716246
116;1,89;-22,521947;-44,71633
116;1,9;-22,521994;-44,716414
116;1,91;-22,52204;-44,716498
116;1,92;-22,522086;-44,716582
116;1,93;-22,522131;-44,716666
116;1,94;-22,522179;-44,716749
116;1,95;-22,522227;-44,716833
116;1,96;-22,522274;-44,716916
116;1,97;-22,522321;-44,717
116;1,98;-22,522368;-44,717083
116;1,99;-22,522415;-44,717167
116;2;-22,522462;-44,717251
116;2,01;-22,522508;-44,717334
116;2,02;-22,522553;-44,717419
116;2,03;-22,522597;-44,717503
116;2,04;-22,522642;-44,717589
116;2,05;-22,522686;-44,717674
116;2,06;-22,522732;-44,717758
116;2,07;-22,522779;-44,717842
116;2,08;-22,522828;-44,717924
116;2,09;-22,522876;-44,718007
116;2,1;-22,522925;-44,71809
116;2,11;-22,522973;-44,718173
116;2,12;-22,52302;-44,718256
116;2,13;-22,523068;-44,718339
116;2,14;-22,523115;-44,718423
116;2,15;-22,523159;-44,718508
116;2,16;-22,523203;-44,718593
116;2,17;-22,523249;-44,718677
116;2,18;-22,523294;-44,718762
116;2,19;-22,523339;-44,718847
116;2,2;-22,523381;-44,718933
116;2,21;-22,523423;-44,719019
116;2,22;-22,523462;-44,719106
116;2,23;-22,523501;-44,719194
116;2,24;-22,523538;-44,719282
116;2,25;-22,523573;-44,719371
116;2,26;-22,523608;-44,71946
116;2,27;-22,523641;-44,719551
116;2,28;-22,523673;-44,719641
116;2,29;-22,523704;-44,719732
116;2,3;-22,523733;-44,719824
116;2,31;-22,52376;-44,719915
116;2,32;-22,523785;-44,720007
116;2,33;-22,52381;-44,7201
116;2,34;-22,523832;-44,720194
116;2,35;-22,523853;-44,720287
116;2,36;-22,523873;-44,720381
116;2,37;-22,523892;-44,720475
116;2,38;-22,523911;-44,720569
116;2,39;-22,523927;-44,720663
116;2,4;-22,523943;-44,720758
116;2,41;-22,523956;-44,720853
116;2,42;-22,523968;-44,720948
116;2,43;-22,523979;-44,721043
116;2,44;-22,523987;-44,721139
116;2,45;-22,523995;-44,721235
116;2,46;-22,524001;-44,72133
116;2,47;-22,524006;-44,721426
116;2,48;-22,52401;-44,721522
116;2,49;-22,524013;-44,721618
